index	upstream_sha	commit_date	subject	review_status	decision	rtd_commit	notes
27	5cec996ec7a316dbf03b42388583d3cc8ec2d8d8	2026-01-05	[consensus] avoid redundant String allocation in median_timestamp_by_stake error (#24761)	REVIEWED	EXCLUDE_FEATURE		行为不变的冗余 String 分配清理
28	dcbf21a9840392f95ec120d6bafc661507fdb384	2026-01-05	fix: remove dead network_type from simtests config (#24760)	REVIEWED	EXCLUDE_FEATURE		删除未使用的 simtest network_type 配置
29	f90d706acb71c7816104d5d106a8254dbf86b117	2026-01-05	fix permanent (#24728)	APPLIED	MERGE	62090c5d991f0cc3cc8bba18e63ccce7c71c3de8	修正 indexer ingestion 永久错误消息拼写
30	4d8574f5bda22bac93dec9e082e01d6c4bb335e6	2026-01-05	Alt Framework Analytics Indexer (#24716)	REVIEWED	EXCLUDE_FEATURE		新增 analytics indexer alt framework 架构
31	a9506dcf899903360d3ef6ef108f83f42753be5f	2026-01-05	[package-alt] implement --allow-dirty and fix --install-dir (#24715)	REVIEWED	EXCLUDE_FEATURE		PackageLoader/allow-dirty feature 与大范围 API 迁移，install-dir 无独立小补丁
32	ebc792b45b15cf18c50532dd11fb376df61c30d8	2026-01-05	graphql: clamp indices for pagination (#24785)	APPLIED	MERGE	ff9a47210d367e7dc887bd669bb907a478950ba3	限制索引游标范围，避免越界 node 访问
33	1b08d0f6b41e2981e9d6a2f590f6f1771b903613	2026-01-05	remove overly verbose logs (#24791)	REVIEWED	EXCLUDE_FEATURE		只删除高频日志，不改变行为
34	2b0a76efc889cd65c4a4664b457387b6b187ece0	2026-01-05	[move-ide] Better on-hover value display for string constants (#24704)	APPLIED	MERGE	4b82d050ae81a3b611e889219edbda85dbdf5896	使用 compiler analysis 保留 string constant hover 原文
35	29de39bd6db5319f2b0b712f64be8b188d1d2057	2026-01-05	[move][cleanup] Remove `once_cell` in favor of not-stable `LazyLock` in `std` (#24695)	REVIEWED	EXCLUDE_FEATURE		行为不变的 LazyLock 依赖清理
36	2493af7373b531cfcef697c4f756f16bbc70b2f3	2026-01-05	[gas] New computation gas rounding (#24600)	REVIEWED	EXCLUDE_FEATURE		协议 107 新 computation gas rounding 规则
37	01e3d24f39e42e246aa279c05ba2ba7dba1e85d9	2026-01-06	graphql: delete GraphQL Alpha and Legacy Indexer (#24767)	REVIEWED	EXCLUDE_FEATURE		大规模退役 GraphQL Alpha 与 legacy indexer
38	bcc86aee4bc45c738f1b62d3f75276997376688a	2026-01-06	refactor(basic-indexer): use Service abstraction	REVIEWED	EXCLUDE_FEATURE		basic indexer 示例 Service API 迁移
39	47eedfae1867590748b5d6ddbb5b1be1561dd8e4	2026-01-06	refactor(clickhouse-indexer): use Service abstraction	REVIEWED	EXCLUDE_FEATURE		ClickHouse indexer 示例 Service API 迁移
40	5474df434f777e3e4c9a0e426b173e22245ce3a1	2026-01-06	refactor(walrus-indexer): use Service abstraction	REVIEWED	EXCLUDE_FEATURE		Walrus indexer 示例 Service API 迁移
41	d1182c0080d2a245862784da2f800673b49fb109	2026-01-06	graphql: raise 500 for panics	APPLIED	MERGE	9047fc5012a663f94ae6b37a452177b51b213a5b;6c2ddedd437865b88c4258a0de4e487bc032667a	捕获 GraphQL request panic，返回 500 internal error 并记录指标
42	a342a9edf7954c255d6c95664a4c601ac2c580e2	2026-01-06	jsonrpc-alt: catch panic handler	APPLIED	MERGE	43001a4903f1c1b7d657c10cbed23ed90a93ce5a;6c2ddedd437865b88c4258a0de4e487bc032667a	捕获 JSON-RPC request panic，返回 internal error 并记录指标
43	c3a01cacd606407c5f828526321115ed88988bad	2026-01-06	consistent-store: raise internal error for panics	APPLIED	MERGE	61284b0b331d57956d5cedb9da8df459ee6bf484;6c2ddedd437865b88c4258a0de4e487bc032667a	捕获 consistent-store gRPC panic 并返回 Internal status
44	3adbd2446c06077ee11908e0b298f87fb995bc83	2026-01-06	docs: Revisions to `/concepts/cryptography` pages (#24757)	REVIEWED	EXCLUDE_NON_CODE		仅重组和修订 cryptography 文档
45	b56147803c42e4ffcac4696df8d9df89d22b4841	2026-01-06	clean up READMEs for package-alt crates (#24811)	REVIEWED	EXCLUDE_NON_CODE		仅清理 package-alt README
46	baae1c4dedfd43180677400c885c37a7db7fa800	2026-01-06	rpc-index: include address balances in the balance index (#24797)	REVIEWED	EXCLUDE_FEATURE		把 address balance 纳入 RPC balance index 的新索引能力
47	6fce1bea1a63495887f7e10ab46a6b736a22b131	2026-01-06	[trace-view] Metadata generation for NPM publishing (#24753)	REVIEWED	EXCLUDE_FEATURE		trace-adapter NPM declaration 与发布配置
48	8d453e593d58cbd43e7b046a2ea48a309d4e234a	2026-01-06	[move][tracing] Update event API to allow it to specify which events to save in the trace (#23138)	REVIEWED	EXCLUDE_FEATURE		扩展 tracing API 以支持调用方选择事件
49	4c8c5e7fd3d24edfba3564d69fc09faeb7ee07f5	2026-01-06	fixup docker builds for indexer-alt rpc services (#24813)	REVIEWED	EXCLUDE_POST_FORK		只修复第 41-43 条新增 unwind profile 的 Docker 路径；必要 hunk 作为移植集成适配纳入
50	c69bda536263dce7fcfe18a32611fef2bebd4ed1	2026-01-06	chore(pnpm audit): bump `qs >= 6.14.1` (#24814)	APPLIED	MERGE	66dd0f93fe41125b152dac744780e291deb73f15	更新 Express 与 lockfiles，当前解析到 qs 6.15.3
51	4e353e1464395b95cfd3fccf356a5bd2f320d7ff	2026-01-06	docs: fix title capitalization (#24812)	REVIEWED	EXCLUDE_NON_CODE		仅修改文档标题大小写
52	76f9503c63799b122b769dc8f90b6c732148d395	2026-01-06	fix: redirect (#24816)	REVIEWED	EXCLUDE_NON_CODE		仅修正文档站 Vercel redirect 配置
53	5a5818ed53ffdf5505efb95f90060ebe17ab8281	2026-01-06	docs: Gaming on Sui revision (#24719)	REVIEWED	EXCLUDE_NON_CODE		仅重写 Gaming 文档
54	1b872e186274e2b18895c8b1cd418bf892af680e	2026-01-06	Fix flaky test_simulated_load_conflicting_transfers simtest (#24759)	REVIEWED	EXCLUDE_POST_FORK		只修复第 20 条被排除 feature 新增的 soft-bundle workload
55	af83c5bcd3567c7fc2e9e9f82d46ca4471c452f6	2026-01-06	Handle unindexed balance_changes (#24794)	APPLIED	MERGE	7d63628b06cbd103abaac25e315ead9b9c76604a	拒绝读取尚未追上 balance index watermark 的 checkpoint 和 transaction
56	40793a635263ce37066f4a6ca66726371cad08a3	2026-01-06	Move full_checkpoint_content_v2 to the end of the list (#24818)	APPLIED	MERGE	8d3226de607f20fa4e75a4332d722de5659334d2	把基线新增 Tidehunter tables 移到列表末尾以保持既有 keyspace 编号
57	57950d264b540b59fdec953fa5d790113fe1dfd2	2026-01-07	graphql: Introduce Query.node(id: ID!): Node	REVIEWED	EXCLUDE_FEATURE		新增 GraphQL Global Node ID 接口
58	ef3488d505c288809b78f60488ae986b27e547ea	2026-01-07	graphql(node): Object implements Node	REVIEWED	EXCLUDE_FEATURE		扩展 Object 实现 Node
59	f3ec6a50a3d29c725415ae6c2ada250144386214	2026-01-07	graphql(node): MovePackage implements Node	REVIEWED	EXCLUDE_FEATURE		扩展 MovePackage 实现 Node
60	3789e36ac36a719b30291249e27587107d5e3a43	2026-01-07	graphql(node): Epoch implements Node	REVIEWED	EXCLUDE_FEATURE		扩展 Epoch 实现 Node
61	afb5eba4db03d4d6b404cdb006c50bad626f1a6b	2026-01-07	graphql(node): Checkpoint implements Node	REVIEWED	EXCLUDE_FEATURE		扩展 Checkpoint 实现 Node
62	06c0738d84d80d412f6b88339645893c03128bb3	2026-01-07	graphql(node): Transaction implements Node	REVIEWED	EXCLUDE_FEATURE		扩展 Transaction 实现 Node
63	fbe7ab90e45e2e08e9731fbfe75e484ced021506	2026-01-07	graphql(node): MoveObject implements Node	REVIEWED	EXCLUDE_FEATURE		扩展 MoveObject 实现 Node
64	568c24b6317880d812fe409b354f52fe9f127551	2026-01-07	graphql(node): DynamicField implements Node	REVIEWED	EXCLUDE_FEATURE		扩展 DynamicField 实现 Node
65	b93b5e4c1e127d667721f544d1894e539ae097d4	2026-01-07	graphql(node): document Node, Node.id, Query.node	REVIEWED	EXCLUDE_POST_FORK		只补充第 57-64 条新增 Node feature 的 schema 文档
66	00f4ff98b17118386aa7261490b1bf45e57ddc58	2026-01-07	rpc: add support for address balances to GetBalance and ListBlances (#24817)	REVIEWED	EXCLUDE_FEATURE		为 balance RPC 新增 address-balance 查询能力
67	3e4bf56bdc66d74f97bdadb31056ef652845db78	2026-01-07	graphql: MoveModule.fullyQualifiedName	REVIEWED	EXCLUDE_FEATURE		新增 fullyQualifiedName GraphQL 字段
68	fb55e5e428a3c0f079256b27795a9bab4c67ba14	2026-01-07	graphql: MoveFunction.fullyQualifiedName	REVIEWED	EXCLUDE_FEATURE		新增 fullyQualifiedName GraphQL 字段
69	225279984087553efeb68a834e653cc16a219484	2026-01-07	graphql: IMoveDatatype.fullyQualifiedName	REVIEWED	EXCLUDE_FEATURE		新增 fullyQualifiedName GraphQL 字段
70	e2c480c8defeca4de7199d821bedc2854440fd92	2026-01-07	Fix protocol compatibility check against testnet (#24830)	REVIEWED	EXCLUDE_NON_CODE		仅给 Testnet 协议快照补 insta snapshot_kind 元数据
71	d73f008d6d98597f887668d7ea316fb731654ad8	2026-01-07	Migrate native bridge from ethers to alloy (#24575)	REVIEWED	EXCLUDE_FEATURE		大规模 native bridge SDK 迁移
72	e0006bcc54c747977437c29ef5846373cb871fd0	2026-01-07	[indexer-alt] include address balance addresses in tx_affected_addresses (#24799)	APPLIED	MERGE	bc0cec63adec8f3c3f762ad9f83b3f9751ccf888	补齐 accumulator balance write 所影响的地址
73	f55e95101969828318bdc1a171ab677c7701d746	2026-01-07	[tree-sitter] Fix `spec` variable-name parsing. Update kws (#24829)	APPLIED	MERGE	762816a41c01291092a77e901dfd1fdc0215092e	允许 spec 作为普通变量名同时保留 spec block 解析
74	1bc43724cc798ba4d60ffba0040f065940016df7	2026-01-07	[cli] Fix publish/upgrade issues (#24822)	APPLIED	MERGE	a8cbd6d0e51a0a86c1c430fdc0b359b54ef97db5	publish 和 upgrade 的 dry-run/serialize 结果不再被误报为错误
75	400e0464cbdc2b3cd18f889fcdc4530d34a40f14	2026-01-07	[ptb] Support `TxContext` arguments in any position (#24802)	REVIEWED	EXCLUDE_FEATURE		协议 107 新增 PTB TxContext 参数位置能力
76	76514039c96236fd631b70506c97bf3aa89caf91	2026-01-08	graphql: Epoch.totalTransactions for in-progress epochs (#24781)	REVIEWED	EXCLUDE_FEATURE		把原约定为 null 的未结束 epoch 字段扩展为实时计算
77	911155e271eb553937437d4885d559d719762bdc	2026-01-08	docs: Revise + move /concepts/sui-move-concepts pages  (#24796)	REVIEWED	EXCLUDE_NON_CODE		仅移动并修订概念文档
78	fd8d5f94521f71d56801ef3a6d6fa77996067ac2	2026-01-08	docs: Revisions to `/concepts/data-access` pages (#24819)	REVIEWED	EXCLUDE_NON_CODE		仅修订 data-access 文档
79	4ab28f7b8c403cf493fe8d4e1388d2d5c79d36bf	2026-01-08	[ci] append useful info to simtest oncall slack message (#24838)	REVIEWED	EXCLUDE_NON_CODE		仅修改 CI oncall 通知内容
80	f68ddcccab699fb583bc2ab686cad61dda9eec89	2026-01-08	chore(imports): standardize imports for analytics-indexer	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
81	7618e39df2115c0718c7612d6ea8b91f14313b4d	2026-01-08	chore(imports): standardize imports for `sui-checkpoint-blob-indexer`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
82	641c5b8569dfd0d7a62533b521bce3e053ea760b	2026-01-08	chore(imports): standardize imports for RPC macro crates	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
83	ee871d337be9272266a06022312f5060badb3cfb	2026-01-08	chore(imports): standardize imports for `sui-pg-db`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
84	59190e5426ba227932cf09d8e1cc1efef1ab2f69	2026-01-08	chore(imports): standardize imports for `sui-package-resolver`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
85	b2cb0503146652428809e909dcc8037011edce8a	2026-01-08	chore(imports): standardize imports for `sui-display`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
86	7a657477f0f3ee3fc12c57a58b7da2e4dfb8b055	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt-consistent-store`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
87	c6613286a258ab55d4f16d6f0b2c87f93fcd53d4	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt-e2e-tests`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
88	0be1eff1991315dbb39e5e5cbf20e0784fc45651	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt-framework`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
89	d950ab08807912bfce6d2aefacbee9e5f0ca5ac9	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt-graphql`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
90	fa8b64264b2ae3a305a6d1478d9142896fca9377	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt-jsonrpc`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
91	6f62b7b222d7cac531bafc7c08dad47060597c1b	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt-metrics`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
92	4ee3348723b79d8ac6ef03b9217c751218bd5b47	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt-object-store`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
93	75fc07e63792ea0a9bb8a03f0d28d50b1332a982	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt-reader`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
94	978bbcc7d973a588b16265df5f64d1ecb8d0e47a	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt-schema`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
95	ecae0049caaeb33d2773f625549ca0137637140c	2026-01-08	chore(imports): standardize imports for `sui-indexer-alt`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
96	ac6149c74c7ff2ce4b5214012008176b68fc4297	2026-01-08	chore(imports): standardize imports for `sui-rpc-resolver`	REVIEWED	EXCLUDE_FEATURE		仅标准化 import 排序
97	46f2ccfa04c520c85db140db4cacfb2e0bd209d2	2026-01-08	Ensure all immutable claims are complete and accurate (#24808)	REVIEWED	EXCLUDE_POST_FORK		只修复第 20 条被排除 feature 新增的 immutable claim 验证
98	334a0a763ad277aba2f3c30626c2bda37c17b033	2026-01-08	[graphql-alt] Add effectsJson and transactionJson fields (#24750)	REVIEWED	EXCLUDE_FEATURE		新增 GraphQL 原始 JSON 字段
99	67473595531afaa00023944c5126d5d3eb4edd7f	2026-01-08	[tidehunter] Use new compactor API (#24083)	REVIEWED	EXCLUDE_FEATURE		迁移 Tidehunter compactor API，未修复基线行为
100	4ad95e4974ff33d2d8773cfb17f923c7bd3484c5	2026-01-08	fix: correct fetch_latest_blocks error label (#24850)	APPLIED	MERGE	fbbfedd1f2bee5d57068baeee530ac720f9279da	修正 latest-block 初始 RPC 失败的错误标签
101	37d5a62455f1402572fd5f7844b8fbfaf630b7c0	2026-01-08	Tweaks to checkpoint summary handling in state sync (#24832)	REVIEWED	EXCLUDE_FEATURE		新增 state-sync lookahead、批量 summary 获取和配置项，属于同步架构/吞吐能力扩展
102	a5ee2b9b736e712dfc917c5226ae1d835c59abd9	2026-01-08	[fix][ptb] Fix typing ordering  (#24848)	REVIEWED	EXCLUDE_POST_FORK		修复由第 75 条被排除的任意位置 TxContext 协议能力引入的类型检查顺序问题
103	ef85bdfcdef1856c278bba13b16fa0c78dce8489	2026-01-08	[chore] fixed warnings in package system  (#24847)	REVIEWED	EXCLUDE_FEATURE		仅调整 package-alt 警告和未使用项，行为不变
104	2769218551599e980acd4a3294ceddb3b2af89b0	2026-01-09	[pkg-alt] Use deterministic dummy addresses (fix for analyzer) (#24845)	APPLIED	MERGE	c0f3899cb3db6239022135ce74d8c0a8eb9311a7	移除全局递增 dummy address，以 pinned dependency 稳定哈希派生地址并稳定 linkage 顺序
105	cd8b36a9f1bf85b73eb7e174f5306d56b643dcc4	2026-01-09	ephemeral pubfiles use absolute paths for local deps (#24853)	APPLIED	MERGE	5c2372b60289db5c716bbce452f1299fb7e777d2	本地/root ephemeral publication key 改用规范化绝对路径，避免跨包目录复用时指错依赖
106	9d31b5b64b7a60d79b162b9f700858361b87c349	2026-01-09	[cli] Add a no-tree-shaking flag to sui move build command (#24844)	REVIEWED	EXCLUDE_FEATURE		新增 CLI 构建选项和 tree-shaking 控制能力
107	5461f7c462f13aa2215119acaf3b68a7b1a3d0cf	2026-01-09	consistency: enable fsync on writes (#24860)	APPLIED	MERGE	77784dc7e6494c5be5c6c9a15095256eae1cbb10	consistent store 的 watermark/restore 写入遗漏同步落盘，崩溃重启可能丢失已确认进度
108	a5a9a55c34c03e66884058388f12e337d5f5946f	2026-01-09	rpc: move lookup_address_balance to be a method on StateReader	REVIEWED	EXCLUDE_FEATURE		为后续 simulate address-balance 支持移动查询 API，纯准备性重构
109	3983c400d96e97633f9348bb2b08c72b0a51ddbd	2026-01-09	transaction: make owner_for_withdrawal public	REVIEWED	EXCLUDE_FEATURE		为后续 simulate 支持扩大 helper 可见性
110	6f8d2268b131f792b108d77b3c1a18b896dd5605	2026-01-09	transaction: introduce a more flexible Command::is_argument_used method	REVIEWED	EXCLUDE_FEATURE		为后续 gas 选择新增通用参数使用查询 API
111	b5c21d33a612205ff581f409caf65526e411ecf9	2026-01-09	transaction: add TransactionDataAPI::expiration_mut method	REVIEWED	EXCLUDE_FEATURE		新增可变 expiration API，供后续 simulate 流程使用
112	7d270de34b60a5c280d88b0a1cb109bb8ac38f64	2026-01-09	simulate: add support for address balances to select_gas	REVIEWED	EXCLUDE_FEATURE		新增 simulate 自动选择 address-balance gas 的能力
113	3e497b2a919fd8f7d001c02dca43ef6c459b9e18	2026-01-09	fix(indexer-alt-framework): Fix client_args not being parsed from CLI (#24823)	APPLIED	MERGE	b9db696fe88111e12c3ed7ccd2ba201e54f694b5	nested Clap flatten 遗漏导致 ingestion client 参数无法从命令行解析
114	ac03ae1b29b6a47ad3c9c71891e8ec5f00329fd2	2026-01-09	[chore][bug fix] fix stackless ops (#24846)	APPLIED	MERGE	8871d89c42779ab845e846268915033f00e22d6a	stackless translator 错把整数位运算结果标成 bool
115	25549eb34d20e1f6ce4727fb2c51cb58b29eda40	2026-01-09	[chore] update Move lock files (#24869)	REVIEWED	EXCLUDE_NON_CODE		仅更新框架 Move.lock 和 ignore 配置
116	9d49203d76ba19b49d89e22520103d6f9e5ea604	2026-01-09	[ptbs] Disable entry signature check (#24835)	REVIEWED	EXCLUDE_FEATURE		通过协议配置改变 entry signature 验证语义并新增版本 107 行为
117	04f721aefa8e6bce86536e783e058542c3a9c72d	2026-01-10	graphql: Apply a "rich query" limit (#24865)	REVIEWED	EXCLUDE_FEATURE		新增 GraphQL rich-query 复杂度限制与 schema 配置
118	9058a90118accc8306ddeb721cf876ec140f5bfb	2026-01-09	resolve: properly resolve FundsWithdrawal arguments (#24873)	REVIEWED	EXCLUDE_POST_FORK		基线 resolver 没有 funds_withdrawal proto 字段；修复依赖第 108-112 条 simulate feature
119	f40b60f3a9d81bd177f1990902d41b71d5e86ffe	2026-01-10	[consensus] improve direct finalization (#24856)	REVIEWED	EXCLUDE_FEATURE		引入协议 108 direct-finalization 行为和大量配置快照
120	14172d3847746cfd243242504a70c8b478fc8f9d	2026-01-11	Do not cancel effects wait on epoch change (#24824)	APPLIED	MERGE	018490cd2bd164a6d21e3fbfa9bdfd7831dfa2f7	effects 通知等待错误绑定 epoch 生命周期，跨 epoch 完成的交易会被取消并超时
121	fcc4d0ae3fd9a7bcae7a29d8d6b4bc7c54f9bf95	2026-01-11	docs: update graphql data-access retention docs (#24784)	REVIEWED	EXCLUDE_NON_CODE		仅修改 GraphQL data-access 文档
122	3d26e488e5df3b9501fe762ec77a5679ae7c86f9	2026-01-11	[sui-tool] Add retry logic and fail-fast behavior to formal snapshot restore (#24864)	APPLIED	MERGE	c368185dcced0cafe3d48ab54dd8b63ef82a8a9a	formal snapshot checkpoint 下载遇瞬时 EOF 不重试，且并行任务失败不能及时返回
123	be31a131a28670c406532729c6a5ccf518a4dcca	2026-01-12	[pkg system] introduce `test-upgrade` command (#24858)	REVIEWED	EXCLUDE_FEATURE		新增 test-upgrade CLI、shell fixtures 和 package workflow
124	d4ddf29251b3d1b0e28bc7049791086af695e706	2026-01-12	remove legacy suins and deepbook indexers (#24884)	REVIEWED	EXCLUDE_FEATURE		删除 legacy indexer 组件，属于产品/仓库清理
125	2b310f2bfb12a14f8be7dfb06ee902a09775c4d7	2026-01-12	[pkg-system] Improve error message when trying to republish (#24859)	APPLIED	MERGE	dbcf9ba84aa3021e401c91e0e146a34ae755f4d3	已发布包被误报为模块地址非零，改为指出 publication 记录及两种修复方式
126	9f4959c9c943eb6891d1f416ce2453bf407a693c	2026-01-12	address-balance: remove Reservation::EntireBalance (#24866)	REVIEWED	EXCLUDE_FEATURE		移除 address-balance API variant 并改变序列化/协议表面
127	20453d8502a6e448d7a77973ad11c42db8be092a	2026-01-12	Add immutable owned input to random transaction workload (#24798)	REVIEWED	EXCLUDE_FEATURE		扩展 benchmark 随机交易 workload
128	1608b2bf6ec2dca91c3c6ba19c9c1fa5f7781d06	2026-01-12	docker: remove suins and deepbook indexers (#24889)	REVIEWED	EXCLUDE_FEATURE		配合第 124 条移除 Docker 中的 legacy indexer
